vendor_id,num_passengers,tip,price,dropoff_time,pickup_time,distance
2,1,0.0,22.8,2018-11-01 00:41:20,2018-11-01 00:13:28,5.59
2,6,0.0,4.3,2018-11-01 00:14:49,2018-11-01 00:13:29,0.06
2,1,1.46,8.76,2018-11-01 00:18:11,2018-11-01 00:13:41,1.19
2,3,0.0,24.3,2018-11-01 00:42:29,2018-11-01 00:13:43,6.18
1,1,0.0,9.3,2018-11-01 00:23:18,2018-11-01 00:13:46,1.5
1,1,0.0,5.8,2018-11-01 00:17:21,2018-11-01 00:13:52,0.6
2,1,2.86,17.16,2018-11-01 00:28:46,2018-11-01 00:13:54,3.32
2,1,0.0,4.8,2018-11-01 00:15:13,2018-11-01 00:13:58,0.51
1,3,2.22,17.02,2018-11-01 00:27:33,2018-11-01 00:14:00,3.8
2,1,2.45,12.25,2018-11-01 00:22:17,2018-11-01 00:14:02,2.0
2,1,2.58,12.88,2018-11-01 00:26:56,2018-11-01 00:14:08,0.8
1,1,0.78,8.58,2018-11-01 00:21:02,2018-11-01 00:14:11,1.1
1,1,0.0,20.3,2018-11-01 00:44:25,2018-11-01 00:14:18,2.9
1,3,1.45,8.75,2018-11-01 00:21:22,2018-11-01 00:14:21,0.7
2,1,2.0,15.3,2018-11-01 00:26:42,2018-11-01 00:14:23,3.12
2,5,1.5,10.8,2018-11-01 00:22:39,2018-11-01 00:14:25,1.7
1,1,2.35,14.15,2018-11-01 00:24:17,2018-11-01 00:14:26,2.7
1,1,1.75,10.55,2018-11-01 00:23:45,2018-11-01 00:14:29,1.0
1,1,2.3,11.6,2018-11-01 00:21:24,2018-11-01 00:14:30,2.1
2,2,0.0,13.8,2018-11-01 00:26:36,2018-11-01 00:14:31,3.54
2,1,1.0,13.3,2018-11-01 00:26:09,2018-11-01 00:14:32,2.74
2,1,1.7,10.0,2018-11-01 00:23:07,2018-11-01 00:14:35,0.85
2,1,0.0,23.8,2018-11-01 00:43:59,2018-11-01 00:14:38,5.46
2,1,1.36,8.16,2018-11-01 00:19:30,2018-11-01 00:14:44,0.98
2,1,0.0,9.3,2018-11-01 00:24:32,2018-11-01 00:14:44,1.02
4,1,0.0,8.8,2018-11-01 00:20:53,2018-11-01 00:14:46,2.02
2,1,3.63,28.93,2018-11-01 00:42:52,2018-11-01 00:14:53,6.48
1,1,1.0,8.3,2018-11-01 00:21:24,2018-11-01 00:14:55,0.9
2,1,0.0,7.3,2018-11-01 00:22:28,2018-11-01 00:15:04,0.07
2,1,0.0,10.3,2018-11-01 00:26:44,2018-11-01 00:15:06,1.53
2,5,1.26,7.56,2018-11-01 00:18:31,2018-11-01 00:15:07,0.75
1,1,1.0,8.8,2018-11-01 00:22:08,2018-11-01 00:15:11,1.0
2,5,7.08,35.38,2018-11-01 00:45:40,2018-11-01 00:15:12,7.59
1,1,0.0,10.8,2018-11-01 00:27:30,2018-11-01 00:15:17,1.9
2,2,0.0,39.3,2018-11-01 01:00:51,2018-11-01 00:15:18,9.76
1,2,4.75,28.55,2018-11-01 00:38:45,2018-11-01 00:15:19,6.7
1,1,0.0,10.8,2018-11-01 00:27:14,2018-11-01 00:15:20,1.5
1,1,0.0,4.3,2018-11-01 00:17:19,2018-11-01 00:15:27,0.2
1,1,0.0,17.8,2018-11-01 00:39:05,2018-11-01 00:15:30,3.1
2,1,0.0,18.3,2018-11-01 00:39:51,2018-11-01 00:15:31,3.57
1,1,1.0,9.3,2018-11-01 00:23:10,2018-11-01 00:15:31,1.3
1,1,0.0,34.3,2018-11-01 00:38:28,2018-11-01 00:15:41,11.3
1,1,1.75,10.55,2018-11-01 00:23:36,2018-11-01 00:15:45,1.3
2,2,4.45,22.25,2018-11-01 00:41:15,2018-11-01 00:15:50,2.54
